wavelength,intensity
741.39,-1.3736e+13
741.7,-1.3736e+13
742.01,-1.3736e+13
742.32,-1.3736e+13
742.63,-1.3736e+13
742.94,-1.3736e+13
743.26,-1.7192e+13
743.57,-2.8332e+13
743.88,-1.1628e+13
744.19,-1.5233e+13
744.5,4.3071e+12
744.81,-2.3867e+12
745.12,-1.1712e+13
745.43,-1.5922e+13
745.74,-9.6857e+12
746.05,-6.0753e+12
746.36,-2.3867e+12
746.67,-2.3867e+12
746.99,-6.0753e+12
747.3,-6.0753e+12
747.61,-6.0753e+12
747.92,-2.6498e+12
748.23,-2.6498e+12
748.54,-2.6498e+12
748.85,-2.6498e+12
749.16,1.4042e+12
749.47,1.4042e+12
749.78,1.4042e+12
750.09,5.6924e+12
750.4,1.4042e+12
750.71,5.6924e+12
751.02,-2.6342e+12
751.33,2.1633e+12
751.64,6.4231e+12
751.95,6.4231e+12
752.26,6.4231e+12
752.57,1.2473e+13
752.88,1.6157e+13
753.19,6.5779e+12
753.5,6.5779e+12
753.81,2.742e+12
754.11,2.742e+12
754.42,-1.4276e+12
754.73,-1.4276e+12
755.04,2.4084e+12
755.35,-4.4036e+12
755.66,-7.001e+12
755.97,-1.7859e+13
756.28,-7.8716e+12
756.59,-7.8716e+12
756.9,-5.2743e+12
757.21,-5.2743e+12
757.52,-2.4509e+12
757.82,-2.4509e+12
758.13,-2.4509e+12
758.44,-4.3631e+12
758.75,-3.8633e+11
759.06,2.4889e+12
759.37,2.4889e+12
759.68,9.7175e+11
759.98,9.7175e+11
760.29,9.7175e+11
760.6,4.3285e+12
760.91,4.3285e+12
761.22,8.7659e+12
761.53,1.9227e+13
761.83,2.182e+13
762.14,2.182e+13
762.45,2.182e+13
762.76,2.2113e+13
763.07,2.2816e+13
763.37,2.7746e+13
763.68,2.7746e+13
763.99,2.7746e+13
764.3,2.0753e+13
764.6,1.553e+13
764.91,1.4997e+13
765.22,1.4997e+13
765.53,1.413e+13
765.84,1.3672e+13
766.14,1.3672e+13
766.45,1.3672e+13
766.76,7.9471e+12
767.06,7.9471e+12
767.37,7.9471e+12
767.68,7.6017e+12
767.99,1.3672e+13
768.29,1.0928e+13
768.6,1.0928e+13
768.91,1.5965e+13
769.21,4.8579e+12
769.52,-6.8663e+12
769.83,-1.3003e+13
770.13,-1.364e+13
770.44,-1.2852e+13
770.75,-1.0144e+13
771.05,-1.2852e+13
771.36,-1.571e+13
771.67,-1.2852e+13
771.97,-1.2852e+13
772.28,-1.0144e+13
772.59,-5.5381e+12
772.89,4.0922e+12
773.2,1.1349e+13
773.51,1.489e+13
773.81,1.489e+13
774.12,1.489e+13
